spot_id,SPOT_REGION,SPOT_COUNTRY,Spot_Name,description,SPOT_TYPE,Longitude,Latitude,GoogleEarth_Link,Active,SPOT_FLAG,country_id,region_id,SESSION_SPOT,Class_ID,Long,Lat,date_add,NRSessions
2735,-,United Kingdom,Walberswick,One of the best waves in the east,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Walberswick,+United Kingdom",1,UK,268,530,Walberswick - United Kingdom,24,NULL,NULL,2011-04-29 20:56:22.960,1
2736,Zeeland,Netherlands,Traanplaat,speedstrip,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Traanplaat,+Netherlands",1,NL,202,294,Traanplaat Zeeland Netherlands,24,NULL,NULL,2011-04-30 23:51:26.973,2
2738,-,Aruba,Fishermans Huts,nice sandy beach,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Fishermans Huts,+Aruba",1,AW,54,316,Fishermans Huts - Aruba,24,-70.04864841,12.58869972,2011-05-01 18:01:35.893,136
2739,Zuid-Holland,Netherlands,Nummer één,Westerschelde,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Nummer één,+Netherlands",1,NL,202,298,Nummer één Zuid-Holland Netherlands,-1,NULL,NULL,2011-05-01 18:38:32.420,10
2740,Friesland,Netherlands,Zwartebroek (Roodkerkermeer),Little lake in Dantumadeel,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Zwartebroek (Roodkerkermeer),+Netherlands",1,NL,202,65,Zwartebroek (Roodkerkermeer) Friesland Netherlands,25,5.942890075,53.24861233,2011-05-01 19:13:30.430,4
2741,Noord-Holland,Netherlands,"Zuiderhaven, Den Oever.",Ook wel Hofmanshaven genoemd.,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Zuiderhaven, Den Oever.,+Netherlands",1,NL,202,162,"Zuiderhaven, Den Oever. Noord-Holland Netherlands",25,NULL,NULL,2011-05-01 21:17:23.620,5
2742,Limburg,Netherlands,De Grote Hegge,Een goed alternatief voor de oolderplas bij oosten en noord oosten wind,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=De Grote Hegge,+Netherlands",1,NL,202,118,De Grote Hegge Limburg Netherlands,25,5.848276786,51.15318727,2011-05-02 00:09:01.637,7
2743,Zuid-Holland,Netherlands,Reeuwijkse Plassen,Wind Surf Club Reeuwijk?,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Reeuwijkse Plassen,+Netherlands",1,NL,202,298,Reeuwijkse Plassen Zuid-Holland Netherlands,25,4.749412918,52.05283115,2011-05-02 00:15:04.600,114
2744,-,Germany,Riedsee Biblis,Homespot,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Riedsee Biblis,+Germany",1,DE,96,358,Riedsee Biblis - Germany,25,NULL,NULL,2011-05-02 11:49:23.883,3
2745,-,United Kingdom,Draycote Water,Inland reservoir,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Draycote Water,+United Kingdom",1,UK,268,530,Draycote Water - United Kingdom,25,-1.32539192,52.3241333,2011-05-03 18:39:28.170,138
2746,-,Germany,Rhein Köln Porz,Rhein mit 5-6km/h Strömung. Achtung Schiffsverkehr.Geht nur bei NW bis N.Wenig Parkplätze.Seid nett zu den Anwohnern.,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Rhein Köln Porz,+Germany",1,DE,96,358,Rhein Köln Porz - Germany,23,NULL,NULL,2011-05-04 21:36:33.883,1
2747,-,Italy,senzuno,mistral very regular and flat wather,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=senzuno,+Italy",1,IT,147,409,senzuno - Italy,24,NULL,NULL,2011-05-04 22:17:31.500,1
2748,-,Sweden,"Smarholmen, Onsala",Onsala Halland,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Smarholmen, Onsala,+Sweden",1,SE,233,495,"Smarholmen, Onsala - Sweden",24,NULL,NULL,2011-05-05 21:55:31.917,3
2749,-,Denmark,Arresø,Lake in the north of Sjaeland. ,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Arresø,+Denmark",1,DK,98,360,Arresø - Denmark,25,12.13309719,55.99323208,2011-05-07 22:46:07.727,42
2750,Friesland,Netherlands,It Djippe Gat,koarte rakjes,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=It Djippe Gat,+Netherlands",1,NL,202,65,It Djippe Gat Friesland Netherlands,25,5.964159463,53.18516504,2011-05-08 14:56:04.203,24
2751,-,Denmark,Vandet Sø ,http://www.kitebeaches.com/kitesurf/loc/vandet_s_.html,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Vandet Sø ,+Denmark",1,DK,98,360,Vandet Sø  - Denmark,25,NULL,NULL,2011-05-08 23:05:51.713,4
2752,-,Denmark,Gilleleje,Baltic sea. Spot east of Rageleje,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Gilleleje,+Denmark",1,DK,98,360,Gilleleje - Denmark,24,12.30040695,56.1317712,2011-05-09 21:04:42.023,2
2754,-,Reunion,possession,Spot de pleine mer ,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=possession,+Reunion",1,RE,225,487,possession - Reunion,24,NULL,NULL,2011-05-13 15:22:45.533,23
2755,Texas,United States,Bluffs Landing-Corpus Christi,Laguna Madre,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Bluffs Landing-Corpus Christi,+United States",1,US,269,257,Bluffs Landing-Corpus Christi Texas United States,24,NULL,NULL,2011-05-13 18:52:29.167,2
2756,-,Reunion,étang salé,Plan d'eau peine mer,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=étang salé,+Reunion",1,RE,225,487,étang salé - Reunion,24,NULL,NULL,2011-05-14 08:04:26.987,9
2757,-,Reunion,saint leu,Plan d'eau peine mer,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=saint leu,+Reunion",1,RE,225,487,saint leu - Reunion,24,NULL,NULL,2011-05-14 14:41:56.330,1
2758,Provence-Cote d'Azur,France,Berre ,speed spot,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Berre ,+France",1,FR,114,194,Berre  Provence-Cote d'Azur France,23,5.205239765,43.47183044,2011-05-15 19:56:17.110,13
2760,Friesland,Netherlands,De Brekken,Meer om het Magrietkanaal heen,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=De Brekken,+Netherlands",1,NL,202,65,De Brekken Friesland Netherlands,25,NULL,NULL,2011-05-15 22:10:08.833,1
2761,New South Wales,Australia,"Valentine, Lake Macquarie","Launch on Lake Macquarie from suburb of Valentine, works well in S & SW wind directions",Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Valentine, Lake Macquarie,+Australia",1,AU,53,166,"Valentine, Lake Macquarie New South Wales Australia",25,151.6231492,-33.02240452,2011-05-16 04:42:28.017,55
2763,-,Lithuania,Dreverna,ok,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Dreverna,+Lithuania",1,LT,170,432,Dreverna - Lithuania,25,NULL,NULL,2011-05-24 16:32:33.020,1
2764,-,Sweden,Lillskärsudde,Waves,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Lillskärsudde,+Sweden",1,SE,233,495,Lillskärsudde - Sweden,24,NULL,NULL,2011-05-24 20:22:56.413,2
2765,-,Denmark,Kaløvig slotsruin,Speedspot bag sangtangen,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Kaløvig slotsruin,+Denmark",1,DK,98,360,Kaløvig slotsruin - Denmark,24,10.47106094,56.27214766,2011-05-25 21:11:23.027,99
2767,-,Spain,Port de Soller,Situado en el noroeste de Mallorca,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Port de Soller,+Spain",1,ES,107,369,Port de Soller - Spain,24,2.693330833,39.79205833,2011-05-25 23:26:45.303,4
2769,-,United Kingdom,Coombe Cellars,Tidal river estuary. ,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Coombe Cellars,+United Kingdom",1,UK,268,530,Coombe Cellars - United Kingdom,23,-3.551744048,50.54291713,2011-05-26 18:22:37.633,6
2770,-,Ukraine,Kharkov Saltov,Saltov,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Kharkov Saltov,+Ukrainian SSR",1,UA,266,528,Kharkov Saltov - Ukraine,-1,NULL,NULL,2011-05-26 21:24:46.213,2
2771,Limburg,Belgium,Schulensmeer,"Great inland lake, flat water",Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Schulensmeer,+Belgium",1,BE,59,108,Schulensmeer Limburg Belgium,25,5.14459695,50.96078445,2011-05-27 16:48:23.560,37
2772,-,Lithuania,Vente,Near Nida,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Vente,+Lithuania",1,LT,170,432,Vente - Lithuania,24,NULL,NULL,2011-05-28 20:59:41.607,1
2773,Iowa,United States,Saylorville,"Lake Saylorville near Des Moines and Ames, Iowa",Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Saylorville,+United States",1,US,269,81,Saylorville Iowa United States,25,NULL,NULL,2011-05-28 21:02:06.217,1
2774,-,China,"Guan Ting Reservoir, Hebei, China",Reservoir,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Guan Ting Reservoir, Hebei, China,+China",1,CN,86,348,"Guan Ting Reservoir, Hebei, China - China",25,NULL,NULL,2011-05-29 04:47:52.937,5
2775,Rogaland,Norway,Hafrsfjord Sjøflyhavn,Sola Sjøflyhavn,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Hafrsfjord Sjøflyhavn,+Norway",1,NO,203,208,Hafrsfjord Sjøflyhavn Rogaland Norway,23,5.636828211,58.90172613,2011-05-30 00:04:15.663,125
2776,-,Ukraine,Berdynsk   (Dzenzik),Dzenzik,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Berdynsk   (Dzenzik),+Ukrainian SSR",1,UA,266,528,Berdynsk   (Dzenzik) - Ukraine,24,36.8059536,46.696329,2011-05-30 12:49:34.947,25
2777,-,Sweden,Traslovslage,Lajet,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Traslovslage,+Sweden",1,SE,233,495,Traslovslage - Sweden,24,12.27154025,57.06286614,2011-06-01 09:58:37.153,15
2778,-,United Kingdom,Keyhaven,"River, west of Solent",-,,,"http://maps.google.com/maps?f=q&hl=en&q=Keyhaven,+United Kingdom",1,UK,268,530,Keyhaven - United Kingdom,23,-1.5708605,50.7150325,2011-06-01 22:47:31.137,11
2779,Zuid-Holland,Netherlands,Haringvliet - Slijkplaat,Short flat spot behind some cribs ,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Haringvliet - Slijkplaat,+Netherlands",1,NL,202,298,Haringvliet - Slijkplaat Zuid-Holland Netherlands,25,NULL,NULL,2011-06-05 01:04:02.910,7
2782,-,Germany,Waginger See,homespot ,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Waginger See,+Germany",1,DE,96,358,Waginger See - Germany,25,NULL,NULL,2011-06-07 22:25:14.813,11
2783,-,Cape Verde,Sal - Santa Maria,Freeride,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Sal - Santa Maria,+Cape Verde",1,CV,92,354,Sal - Santa Maria - Cape Verde,24,-22.89292008,16.59021373,2011-06-11 15:32:10.700,66
2784,Western Australia,Australia,"Majestic Point, Swan River",River,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Majestic Point, Swan River,+Australia",1,AU,53,272,"Majestic Point, Swan River Western Australia Australia",23,115.8320787,-31.99841169,2011-06-12 15:44:36.240,35
2785,Washington,United States,Lake Wenatchee,University Beach,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Lake Wenatchee,+United States",1,US,269,274,Lake Wenatchee Washington United States,25,NULL,NULL,2011-06-13 03:02:02.660,3
2787,Zeeland,Netherlands,Grevelingenmeer - Battenoord,speedspot,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Grevelingenmeer Battenoord,+Netherlands",1,NL,202,294,Grevelingenmeer - Battenoord Zeeland Netherlands,25,4.13536753,51.69168352,2011-06-13 21:21:44.847,26
2788,-,Sweden,Secret 1,No kites here,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Secret 1,+Sweden",1,SE,233,495,Secret 1 - Sweden,-1,NULL,NULL,2011-06-14 09:54:06.350,2
2790,-,Finland,Nallikari,www.nallikari.fi/index.php?102,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Nallikari,+Finland",1,FI,109,371,Nallikari - Finland,24,25.4020649,65.03876255,2011-06-14 12:00:07.773,53
2791,Aust-Agder,Norway,Arendal - Hove,Hove - Tromøy,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Arendal - Hove,+Norway",1,NO,203,1,Arendal - Hove Aust-Agder Norway,24,8.814423581,58.4411834,2011-06-15 12:58:51.767,108
2792,Aust-Agder,Norway,Arendal - Hasslatangen ,"Hisøy, mellom Arendal og Fevik",Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Arendal - Hasslatangen ,+Norway",1,NO,203,1,Arendal - Hasslatangen  Aust-Agder Norway,24,8.718730824,58.39728685,2011-06-15 15:03:29.883,16
2793,Stockholm,Sweden,Riddarfjärden Stockholm City,In the middle of the city.,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Riddarfjärden Stockholm City,+Sweden",1,SE,233,235,Riddarfjärden Stockholm City Stockholm Sweden,23,18.04426595,59.3241104,2011-06-16 18:19:28.663,3
2794,Alaska,United States,Roosevelt,Columbia River Park,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Roosevelt,+United States",1,US,269,6,Roosevelt Alaska United States,25,NULL,NULL,2011-06-18 21:56:24.547,1
2795,Texas,United States,"Bluffs Landing,Corpus Christi, TX",Laguna Madre,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Bluffs Landing,Corpus Christi, TX,+United States",1,US,269,257,"Bluffs Landing,Corpus Christi, TX Texas United States",24,NULL,NULL,2011-06-19 19:17:47.437,1
2796,-,Italy,Bagno Argentina,"Beautifull spot in O N-O termic wind,10-18knots,in Follonica beach.",Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Bagno Argentina,+Italy",1,IT,147,409,Bagno Argentina - Italy,24,NULL,NULL,2011-06-19 21:34:57.313,6
2797,Auckland,New Zealand,Musick Point,"Bucklands Beach East near Browns Island, Tamaki River ",Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Musick Point,+New Zealand",1,NZ,208,7,Musick Point Auckland New Zealand,24,174.8934597,-36.85260152,2011-06-20 12:44:39.997,12
2799,Oost-Vlaanderen,Belgium,Del Mare,http://www.delmare.be/,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Del Mare,+Belgium",1,BE,59,191,Del Mare Oost-Vlaanderen Belgium,25,NULL,NULL,2011-06-21 21:11:00.357,4
2801,Gdansk,Poland,Lapalickie Lake,Kaszuby,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Lapalickie Lake,+Poland",1,PL,217,68,Lapalickie Lake Gdansk Poland,25,NULL,NULL,2011-06-25 19:46:55.277,1
2802,-,Brazil,ILHABELA -SP,CANAL DE SÃO SEBASTIÃO E PONTA DAS CANAS,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=ILHABELA -SP,+Brazil",1,BR,68,330,ILHABELA -SP - Brazil,24,-45.3468055,-23.7230285,2011-06-27 23:38:32.193,5
2803,-,Portugal,PRAIA DA ROCHA - ,PORTIMÃO,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=PRAIA DA ROCHA - ,+Portugal",1,PT,221,483,PRAIA DA ROCHA -  - Portugal,24,NULL,NULL,2011-06-27 23:41:31.193,1
2804,Cork,Ireland,"East Ferry, County Cork",Estuary,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=East Ferry, County Cork,+Ireland",1,IE,140,45,"East Ferry, County Cork Cork Ireland",24,-8.204485567,51.85203414,2011-06-30 22:12:22.283,4
2805,-,Lithuania,Kintai,"Spot in the ""Kursiu marios""",Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Kintai,+Lithuania",1,LT,170,432,Kintai - Lithuania,25,NULL,NULL,2011-07-01 22:47:13.423,1
2806,Kalmar,Sweden,"Gudingen, Västervik",Inside archipelago,-,,,"http://maps.google.com/maps?f=q&hl=en&q=Gudingen, Västervik,+Sweden",1,SE,233,96,"Gudingen, Västervik Kalmar Sweden",-1,NULL,NULL,2011-07-02 19:48:20.380,1
2807,Kerry,Ireland,Ventry ,Harbour,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Ventry ,+Ireland",1,IE,140,91,Ventry  Kerry Ireland,24,NULL,NULL,2011-07-02 23:33:27.783,9
2808,-,Denmark,Gåbense,Gåbense havn,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Gåbense,+Denmark",1,DK,98,360,Gåbense - Denmark,24,NULL,NULL,2011-07-03 00:09:10.963,1
2810,-,Sweden,"Steno, Soderhamn",Shallow spot,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Steno, Soderhamn,+Sweden",1,SE,233,495,"Steno, Soderhamn - Sweden",24,NULL,NULL,2011-07-03 21:06:09.363,1
2811,-,Germany,Seelhausener See,Tagebaurestloch,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Seelhausener See,+Germany",1,DE,96,358,Seelhausener See - Germany,25,NULL,NULL,2011-07-04 10:48:37.040,3
2821,Zeeland,Netherlands,Da Slurf,sandbar,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Da Slurf,+Netherlands",1,NL,202,294,Da Slurf Zeeland Netherlands,24,NULL,NULL,2011-07-09 18:38:09.760,4
2822,-,Denmark,Ristinge Hamn,Flat Water,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Ristinge Hamn,+Denmark",1,DK,98,360,Ristinge Hamn - Denmark,24,NULL,NULL,2011-07-12 20:38:46.023,1
2823,Zeeland,Netherlands,Kreekraksluizen,Klein kommetje nabij de Kreekraksluizen met grote parking. ,Lake,,,"http://maps.google.com/maps?f=q&hl=en&q=Kreekraksluizen,+Netherlands",1,NL,202,294,Kreekraksluizen Zeeland Netherlands,25,NULL,NULL,2011-07-14 16:07:04.083,1
2824,Kalmar,Sweden,Degerhamn Oland,South west oland,Sea,,,"http://maps.google.com/maps?f=q&hl=en&q=Degerhamn Oland,+Sweden",1,SE,233,96,Degerhamn Oland Kalmar Sweden,24,NULL,NULL,2011-07-14 18:48:15.410,2
